LAST UPDATED,FREQUENCY,PERIOD BEGIN,PERIOD END,REGION TYPE,REGION NAME,PRICE BUCKET,MEDIAN SALE PRICE ($),MEDIAN DAYS ON MARKET (DAYS),ACTIVE LISTINGS,PENDING SALES
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Alabama,Luxury,981284,61,2413,1163
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Alabama,Luxury,993821,56,2423,1197
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Alabama,Luxury,989858,55,2385,1194
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Alabama,Luxury,945574,63,2241,1094
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Alabama,Luxury,930416,83,2091,940
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Alabama,Non-Luxury,297238,54,8274,5991
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Alabama,Non-Luxury,295704,54,8330,6096
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Alabama,Non-Luxury,294886,60,8282,6237
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Alabama,Non-Luxury,293595,67,8019,6064
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Alabama,Non-Luxury,291083,75,7682,5669
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Alaska,Luxury,979201,24,233,159
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Alaska,Luxury,969267,26,209,166
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Alaska,Luxury,967078,35,177,135
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Alaska,Luxury,995547,33,155,112
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Alaska,Luxury,1005431,35,134,85
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Alaska,Non-Luxury,420440,16,648,785
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Alaska,Non-Luxury,415000,16,571,731
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Alaska,Non-Luxury,414655,20,494,662
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Alaska,Non-Luxury,417254,31,403,519
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Alaska,Non-Luxury,417704,43,352,424
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Arizona,Luxury,1895150,78,3546,1531
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Arizona,Luxury,1878892,73,3847,1750
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Arizona,Luxury,1933057,71,4022,1925
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Arizona,Luxury,1920989,68,4064,1954
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Arizona,Luxury,1957303,75,3965,1939
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Arizona,Non-Luxury,445695,61,13270,8842
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Arizona,Non-Luxury,444151,59,13680,9552
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Arizona,Non-Luxury,443932,60,13912,10000
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Arizona,Non-Luxury,442707,64,13666,9751
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Arizona,Non-Luxury,444243,69,13126,9196
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Arkansas,Luxury,923718,57,1528,616
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Arkansas,Luxury,882737,63,1511,630
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Arkansas,Luxury,891164,78,1457,630
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Arkansas,Luxury,878249,93,1370,549
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Arkansas,Luxury,927432,96,1294,490
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Arkansas,Non-Luxury,259601,47,4710,3218
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Arkansas,Non-Luxury,256492,47,4717,3366
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Arkansas,Non-Luxury,257401,53,4642,3444
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Arkansas,Non-Luxury,259561,65,4478,3254
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Arkansas,Non-Luxury,262742,73,4246,2932
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,California,Luxury,3322497,39,9697,4502
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,California,Luxury,3346966,34,9750,4791
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,California,Luxury,3400184,34,9402,4688
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,California,Luxury,3403069,41,8698,4313
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,California,Luxury,3353720,54,7916,3732
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,California,Non-Luxury,826714,33,29964,25014
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,California,Non-Luxury,828380,31,29733,25508
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,California,Non-Luxury,825101,30,28831,25406
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,California,Non-Luxury,820500,34,26918,23977
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,California,Non-Luxury,815704,41,24821,21902
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Colorado,Luxury,1771703,39,3034,1476
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Colorado,Luxury,1771094,35,2936,1561
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Colorado,Luxury,1784067,36,2736,1551
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Colorado,Luxury,1781228,51,2537,1420
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Colorado,Luxury,1823567,72,2299,1209
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Colorado,Non-Luxury,553886,33,10070,7304
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Colorado,Non-Luxury,554172,32,9615,7743
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Colorado,Non-Luxury,555000,33,9074,8190
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Colorado,Non-Luxury,555000,43,8498,7860
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Colorado,Non-Luxury,554084,56,7821,7048
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Columbia,Luxury,2224256,31,427,247
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Columbia,Luxury,2206697,32,452,279
