LAST UPDATED,FREQUENCY,PERIOD BEGIN,PERIOD END,REGION TYPE,REGION NAME,PRICE BUCKET,MEDIAN SALE PRICE ($),MEDIAN DAYS ON MARKET (DAYS),ACTIVE LISTINGS,PENDING SALES
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Columbia,Luxury,2158638,27,434,269
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Columbia,Luxury,2057576,37,381,217
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Columbia,Luxury,2073768,47,324,166
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Columbia,Non-Luxury,585937,70,949,444
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Columbia,Non-Luxury,577313,61,955,464
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Columbia,Non-Luxury,577964,72,936,490
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Columbia,Non-Luxury,580811,83,879,459
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Columbia,Non-Luxury,595577,99,812,409
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Connecticut,Luxury,1338194,35,975,696
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Connecticut,Luxury,1397998,34,953,738
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Connecticut,Luxury,1424610,59,849,643
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Connecticut,Luxury,1470561,79,721,511
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Connecticut,Luxury,1390017,93,646,355
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Connecticut,Non-Luxury,415596,32,3340,3850
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Connecticut,Non-Luxury,411899,32,3153,3800
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Connecticut,Non-Luxury,409064,36,2724,3296
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Connecticut,Non-Luxury,406019,41,2350,2713
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Connecticut,Non-Luxury,402801,45,2185,2338
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Delaware,Luxury,1252385,50,509,271
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Delaware,Luxury,1229996,46,496,263
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Delaware,Luxury,1180045,55,460,255
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Delaware,Luxury,1311318,57,407,206
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Delaware,Luxury,1353768,71,363,169
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Delaware,Non-Luxury,379280,45,1611,1265
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Delaware,Non-Luxury,377758,42,1588,1283
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Delaware,Non-Luxury,377742,43,1513,1257
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Delaware,Non-Luxury,377286,50,1383,1128
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Delaware,Non-Luxury,377667,59,1253,980
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Florida,Luxury,1810785,78,16258,6174
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Florida,Luxury,1857583,76,16998,6875
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Florida,Luxury,1856015,75,17507,7235
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Florida,Luxury,1839456,76,17655,7250
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Florida,Luxury,1803578,75,17444,6957
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Florida,Non-Luxury,390629,63,53030,32347
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Florida,Non-Luxury,390323,62,53837,33779
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Florida,Non-Luxury,390329,66,54618,35132
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Florida,Non-Luxury,389034,71,54835,34013
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Florida,Non-Luxury,388186,77,54237,31764
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Georgia,Luxury,1298022,47,5437,2127
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Georgia,Luxury,1298050,43,5625,2290
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Georgia,Luxury,1296830,42,5452,2330
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Georgia,Luxury,1290893,55,5075,2169
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Georgia,Luxury,1275330,69,4648,1898
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Georgia,Non-Luxury,375510,51,19544,11234
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Georgia,Non-Luxury,375507,49,19832,11882
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Georgia,Non-Luxury,374998,54,19535,12208
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Georgia,Non-Luxury,373905,63,18808,11823
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Georgia,Non-Luxury,373469,72,17966,10821
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Hawaii,Luxury,3270255,83,735,238
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Hawaii,Luxury,3300159,107,720,226
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Hawaii,Luxury,3297140,122,700,196
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Hawaii,Luxury,3377791,130,694,169
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Hawaii,Luxury,3436873,108,699,198
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Hawaii,Non-Luxury,738371,85,2258,1120
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Hawaii,Non-Luxury,734440,93,2250,1112
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Hawaii,Non-Luxury,730999,99,2219,1131
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Hawaii,Non-Luxury,730166,106,2160,1094
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Hawaii,Non-Luxury,720853,102,2116,1044
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Idaho,Luxury,1374057,56,1100,529
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Idaho,Luxury,1366965,65,1070,534
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Idaho,Luxury,1360086,85,991,494
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Idaho,Luxury,1396667,108,922,420
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Idaho,Luxury,1444778,125,868,353
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Idaho,Non-Luxury,491752,28,2973,2606
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Idaho,Non-Luxury,490532,31,2942,2729
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Idaho,Non-Luxury,486610,41,2848,2728
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Idaho,Non-Luxury,483069,55,2743,2539
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Idaho,Non-Luxury,480201,69,2681,2259
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Illinois,Luxury,1351788,43,3373,2346
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Illinois,Luxury,1351505,43,3358,2664
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Illinois,Luxury,1348985,45,3157,2653
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Illinois,Luxury,1340069,50,2807,2348
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Illinois,Luxury,1321957,60,2442,1813
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Illinois,Non-Luxury,346637,43,13248,12678
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Illinois,Non-Luxury,345000,43,12895,13116
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Illinois,Non-Luxury,343517,45,12122,13045
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Illinois,Non-Luxury,341985,51,11076,11944
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Illinois,Non-Luxury,338615,56,10001,10269
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Indiana,Luxury,868163,21,2144,1524
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Indiana,Luxury,864420,22,2070,1596
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Indiana,Luxury,852648,36,1893,1467
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Indiana,Luxury,841177,46,1667,1214
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Indiana,Luxury,855355,58,1500,932
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Indiana,Non-Luxury,281665,24,7564,7740
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Indiana,Non-Luxury,281400,25,7359,8005
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Indiana,Non-Luxury,278220,30,7030,7914
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Indiana,Non-Luxury,276575,40,6664,7414
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Indiana,Non-Luxury,274344,49,6380,6483
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Iowa,Luxury,746814,40,1089,627
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Iowa,Luxury,731234,45,1057,649
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Iowa,Luxury,705593,68,973,580
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Iowa,Luxury,707767,86,880,486
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Iowa,Luxury,703854,92,813,424
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Iowa,Non-Luxury,270952,24,2987,2997
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Iowa,Non-Luxury,269642,26,3037,3163
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Iowa,Non-Luxury,266494,40,3026,3170
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Iowa,Non-Luxury,263969,53,2938,2935
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Iowa,Non-Luxury,259928,64,2833,2645
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Kansas,Luxury,915737,26,994,702
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Kansas,Luxury,915913,23,992,742
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Kansas,Luxury,913526,32,946,727
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Kansas,Luxury,925842,50,856,629
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Kansas,Luxury,946115,66,764,478
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Kansas,Non-Luxury,277631,11,2471,2926
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Kansas,Non-Luxury,276522,11,2461,3042
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Kansas,Non-Luxury,274173,15,2365,3086
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Kansas,Non-Luxury,274679,23,2188,2781
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Kansas,Non-Luxury,269656,33,2070,2498
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Kentucky,Luxury,858153,47,1482,783
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Kentucky,Luxury,848601,47,1431,793
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Kentucky,Luxury,835707,53,1316,786
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Kentucky,Luxury,822799,67,1155,627
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Kentucky,Luxury,823596,77,1052,520
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Kentucky,Non-Luxury,289931,36,4335,3896
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Kentucky,Non-Luxury,288344,37,4293,4093
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Kentucky,Non-Luxury,286874,42,4189,4230
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Kentucky,Non-Luxury,285000,49,4000,3839
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Kentucky,Non-Luxury,285000,56,3841,3429
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Louisiana,Luxury,880165,53,1610,676
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Louisiana,Luxury,881833,61,1663,769
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Louisiana,Luxury,857873,80,1664,771
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Louisiana,Luxury,859751,93,1627,761
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Louisiana,Luxury,853185,98,1567,671
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Louisiana,Non-Luxury,257519,51,5594,3635
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Louisiana,Non-Luxury,257963,55,5684,3852
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Louisiana,Non-Luxury,257395,63,5727,4008
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Louisiana,Non-Luxury,256100,71,5682,3781
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Louisiana,Non-Luxury,253774,73,5580,3462
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Maine,Luxury,1642781,47,503,258
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Maine,Luxury,1579187,60,439,234
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Maine,Luxury,1495146,84,361,172
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Maine,Luxury,1459511,112,297,113
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Maine,Luxury,1584539,125,263,106
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Maine,Non-Luxury,503348,28,1372,1267
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Maine,Non-Luxury,503706,30,1239,1213
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Maine,Non-Luxury,493873,44,1070,1097
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Maine,Non-Luxury,489569,57,927,873
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Maine,Non-Luxury,487422,68,871,737
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Maryland,Luxury,1414274,31,1529,1036
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Maryland,Luxury,1413284,29,1489,1068
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Maryland,Luxury,1459419,28,1271,902
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Maryland,Luxury,1474668,43,1025,691
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Maryland,Luxury,1518345,58,845,517
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Maryland,Non-Luxury,454822,35,7144,6229
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Maryland,Non-Luxury,452648,34,6954,6565
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Maryland,Non-Luxury,449315,37,6539,6523
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Maryland,Non-Luxury,448881,43,5944,5924
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Maryland,Non-Luxury,446790,50,5510,5216
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Massachusetts,Luxury,2482665,24,2249,1190
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Massachusetts,Luxury,2520701,23,2205,1219
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Massachusetts,Luxury,2590831,33,1973,1138
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Massachusetts,Luxury,2607013,44,1642,897
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Massachusetts,Luxury,2575352,65,1357,679
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Massachusetts,Non-Luxury,698020,21,6630,7185
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Massachusetts,Non-Luxury,695972,21,6413,7300
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Massachusetts,Non-Luxury,694355,22,5480,6292
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Massachusetts,Non-Luxury,682749,28,4342,4856
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Massachusetts,Non-Luxury,679440,32,3508,3784
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Michigan,Luxury,905039,21,3335,2377
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Michigan,Luxury,905773,22,3067,2268
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Michigan,Luxury,891704,27,2693,1784
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Michigan,Luxury,879152,38,2290,1369
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Michigan,Luxury,873575,53,2050,1060
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Michigan,Non-Luxury,285000,21,9825,11760
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Michigan,Non-Luxury,283543,21,9201,11403
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Michigan,Non-Luxury,280398,26,8378,9713
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Michigan,Non-Luxury,278301,33,7513,8189
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Michigan,Non-Luxury,275129,39,7078,7103
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Minnesota,Luxury,1162907,24,2210,1243
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Minnesota,Luxury,1141321,23,2091,1256
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Minnesota,Luxury,1149714,33,1884,1117
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Minnesota,Luxury,1154130,55,1605,867
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Minnesota,Luxury,1141835,72,1381,658
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Minnesota,Non-Luxury,375155,19,6181,6409
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Minnesota,Non-Luxury,374151,19,5885,6574
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Minnesota,Non-Luxury,373988,22,5377,6202
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Minnesota,Non-Luxury,374324,30,4710,5199
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Minnesota,Non-Luxury,372826,39,4180,4211
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Mississippi,Luxury,777692,62,921,375
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Mississippi,Luxury,771797,77,907,396
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Mississippi,Luxury,752732,84,877,376
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Mississippi,Luxury,728992,86,833,349
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Mississippi,Luxury,717181,76,782,297
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Mississippi,Non-Luxury,268092,33,2660,2142
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Mississippi,Non-Luxury,266587,32,2659,2250
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Mississippi,Non-Luxury,264564,34,2656,2234
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Mississippi,Non-Luxury,263821,42,2559,2125
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Mississippi,Non-Luxury,262134,48,2463,1929
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Missouri,Luxury,925462,20,1912,1198
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Missouri,Luxury,915698,27,1880,1262
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Missouri,Luxury,921152,33,1763,1219
